Ministry,Revenue,Capital,Total,Year
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,2104.72,10.55,2115.27,2009-10
MINISTRY OF STEEL,107.36,8,115.36,2009-10
MINISTRY OF TEXTILES,5214,184,5398,2009-10
MINISTRY OF TOURISM AND CULTURE,1064,6,1070,2009-10
MINISTRY OF TRIBAL AFFAIRS,3170.11,50,3220.11,2009-10
UNION TERRITORIES (WITHOUT LEGISLATURE),4126.2,1486.68,5612.88,2009-10
MINISTRY OF HOUSING AND URBAN AFFAIRS,2214.48,3031.3,5245.78,2009-10
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",916.69,86.31,1003,2009-10
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,7428,0,7428,2009-10
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2579.3,493.7,3073,2009-10
MINISTRY OF RAILWAYS,0,14600,14600,2009-10
GRAND TOTAL,897231.95,123605.73,1020837.68,2009-10
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,20769.37,95.35,20864.72,2010-11
DEPARTMENT OF ATOMIC ENERGY,4197.65,4323.35,8521,2010-11
MINISTRY OF CHEMICALS AND FERTILISERS,50556.72,276.28,50833,2010-11
MINISTRY OF CIVIL AVIATION,1456.3,1428.7,2885,2010-11
MINISTRY OF COAL AND MINES,447.7,0,447.7,2010-11
MINISTRY OF COMMERCE AND INDUSTRY,4495.93,692.99,5188.92,2010-11
MINISTRY OF COMMUNICATIONS,12008.51,2175.5,14184.01,2010-11
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",56538.85,69.4,56608.25,2010-11
MINISTRY OF CORPORATE AFFAIRS,203.01,46,249.01,2010-11
MINISTRY OF TOURISM AND CULTURE,1195,43,1238,2010-11
MINISTRY OF DEFENCE,114590.13,61181.72,175771.85,2010-11
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1618.33,141,1759.33,2010-11
MINISTRY OF EARTH SCIENCES,1017.71,284.29,1302,2010-11
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",2305.74,45.42,2351.16,2010-11
MINISTRY OF EXTERNAL AFFAIRS,5621.6,753.4,6375,2010-11
MINISTRY OF FINANCE,404290.75,27057.25,431348,2010-11
MINISTRY OF FOOD PROCESSING INDUSTRIES,307.21,102.51,409.72,2010-11
MINISTRY OF HEALTH AND FAMILY WELFARE,23930.49,1223.51,25154,2010-11
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,390.73,506.7,897.43,2010-11
MINISTRY OF HOME AFFAIRS,29918.17,7217.9,37136.07,2010-11
MINISTRY OF HOUSING AND URBAN AFFAIRS,1007.03,0,1007.03,2010-11
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,49904,0,49904,2010-11
MINISTRY OF INFORMATION AND BROADCASTING,2269.64,334.54,2604.18,2010-11
MINISTRY OF LABOUR AND EMPLOYMENT,2838.59,9.74,2848.33,2010-11
MINISTRY OF LAW AND JUSTICE,776.63,15.02,791.65,2010-11
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",2636.4,12.3,2648.7,2010-11
MINISTRY OF COAL AND MINES,526.35,39.79,566.14,2010-11
MINISTRY OF MINORITY AFFAIRS,2500.37,115,2615.37,2010-11
MINISTRY OF NEW AND RENEWABLE ENERGY,955.2,53.3,1008.5,2010-11
MINISTRY OF OVERSEAS INDIAN AFFAIRS,71.8,9.2,81,2010-11
MINISTRY OF PANCHAYATI RAJ,5170.71,0,5170.71,2010-11
MINISTRY OF PARLIAMENTARY AFFAIRS,7.47,0,7.47,2010-11
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",575.85,130.51,706.36,2010-11
MINISTRY OF PETROLEUM AND NATURAL GAS,3179,0,3179,2010-11
MINISTRY OF PLANNING,1866.21,193.11,2059.32,2010-11
MINISTRY OF POWER,6046.03,4428.84,10474.87,2010-11
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",670.17,0,670.17,2010-11
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,13985.87,10092.78,24078.65,2010-11
MINISTRY OF RURAL DEVELOPMENT,79379.62,7.82,79387.44,2010-11
MINISTRY OF SCIENCE AND TECHNOLOGY,6535.6,43.4,6579,2010-11
MINISTRY OF SHIPPING,1494.41,441.48,1935.89,2010-11
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,4374,200,4574,2010-11
DEPARTMENT OF SPACE,3100.76,2677.24,5778,2010-11
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,2138.66,9.69,2148.35,2010-11
MINISTRY OF STEEL,106.62,1,107.62,2010-11
MINISTRY OF TEXTILES,5478.94,129.14,5608.08,2010-11
MINISTRY OF TOURISM AND CULTURE,1108.41,11,1119.41,2010-11
MINISTRY OF TRIBAL AFFAIRS,3150.37,70,3220.37,2010-11
UNION TERRITORIES (WITHOUT LEGISLATURE),4275.24,965.35,5240.59,2010-11
MINISTRY OF HOUSING AND URBAN AFFAIRS,2312.44,5176.93,7489.37,2010-11
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",995.7,109.3,1105,2010-11
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,11070.5,0,11070.5,2010-11
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2355.43,1209.57,3565,2010-11
MINISTRY OF RAILWAYS,0,15875,15875,2010-11
GRAND TOTAL,958723.92,150025.32,1108749.24,2010-11
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,3903.82,316.96,4220.78,2002-03
MINISTRY OF AGRO AND RURAL INDUSTRIES,665.53,2.1,667.63,2002-03
MINISTRY OF CHEMICALS AND FERTILISERS,11307.96,597.29,11905.25,2002-03
MINISTRY OF CIVIL AVIATION,234.32,64.71,299.03,2002-03
MINISTRY OF COAL AND MINES,1026.03,44.31,1070.34,2002-03
MINISTRY OF COMMERCE AND INDUSTRY,1693.74,383,2076.74,2002-03
MINISTRY OF COMMUNICATIONS,1853.05,163.71,2016.76,2002-03
MINISTRY OF DEFENCE,54863.76,21747.4,76611.16,2002-03
MINISTRY OF DISINVESTMENT,26.79,0,26.79,2002-03
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,373.84,104.67,478.51,2002-03
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1088.26,22.79,1111.05,2002-03
MINISTRY OF EXTERNAL AFFAIRS,2820.14,418.2,3238.34,2002-03
MINISTRY OF FINANCE,161818.67,25564.9,187383.57,2002-03
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",21472.7,48.48,21521.18,2002-03
MINISTRY OF FOOD PROCESSING INDUSTRIES,81.01,0,81.01,2002-03
MINISTRY OF HEALTH AND FAMILY WELFARE,7574.32,7.51,7581.83,2002-03
MINISTRY OF HOME AFFAIRS,11259.47,1777.1,13036.57,2002-03
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,12045.34,0.01,12045.35,2002-03
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,153.24,470.8,624.04,2002-03
MINISTRY OF INFORMATION AND BROADCASTING,1234.48,299.02,1533.5,2002-03
MINISTRY OF LABOUR AND EMPLOYMENT,867.39,14.23,881.62,2002-03
MINISTRY OF LAW AND JUSTICE,566.13,4.55,570.68,2002-03
MINISTRY OF NEW AND RENEWABLE ENERGY,499.47,130.05,629.52,2002-03
MINISTRY OF PARLIAMENTARY AFFAIRS,4.21,0,4.21,2002-03
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",205.59,8.1,213.69,2002-03
MINISTRY OF PETROLEUM AND NATURAL GAS,6509.43,0,6509.43,2002-03
MINISTRY OF PLANNING,46.14,7.5,53.64,2002-03
MINISTRY OF POWER,781.49,2572.11,3353.6,2002-03
MINISTRY OF RURAL DEVELOPMENT,13644.55,50,13694.55,2002-03
MINISTRY OF SCIENCE AND TECHNOLOGY,2233.01,57.75,2290.76,2002-03
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",397.11,0,397.11,2002-03
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1828.33,28.84,1857.17,2002-03
MINISTRY OF STEEL,68.19,14,82.19,2002-03
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,4693.62,3990.52,8684.14,2002-03
MINISTRY OF SHIPPING,334.58,321.41,655.99,2002-03
MINISTRY OF TEXTILES,985.32,600.18,1585.5,2002-03
MINISTRY OF TOURISM AND CULTURE,631.16,112.5,743.66,2002-03
MINISTRY OF TRIBAL AFFAIRS,1064.37,32.01,1096.38,2002-03
MINISTRY OF HOUSING AND URBAN AFFAIRS,1723.76,1053.4,2777.16,2002-03
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",722.05,54.7,776.75,2002-03
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1355.53,113.35,1468.88,2002-03
MINISTRY OF YOUTH AFFAIRS AND SPORTS,331.13,8.26,339.39,2002-03
DEPARTMENT OF ATOMIC ENERGY,1283.66,2585.29,3868.95,2002-03
DEPARTMENT OF OCEAN DEVELOPMENT,198.28,1,199.28,2002-03
DEPARTMENT OF SPACE,1951.62,312.25,2263.87,2002-03
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",311.88,0,311.88,2002-03
UNION TERRITORIES (WITHOUT LEGISLATURE),1748.32,331.72,2080.04,2002-03
MINISTRY OF RAILWAYS,,,5390,2002-03
GRAND TOTAL,340482.79,69826.68,410309.47,2002-03
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,7934.15,264.87,8199.02,2006-07
MINISTRY OF AGRO AND RURAL INDUSTRIES,1052.82,1.81,1054.63,2006-07
DEPARTMENT OF ATOMIC ENERGY,1219.37,4285.71,5505.08,2006-07
MINISTRY OF CHEMICALS AND FERTILISERS,17373.97,181.24,17555.21,2006-07
MINISTRY OF CIVIL AVIATION,372.69,75.91,448.6,2006-07
MINISTRY OF COAL AND MINES,205.71,0,205.71,2006-07
MINISTRY OF COMMERCE AND INDUSTRY,2425.61,656,3081.61,2006-07
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,5469.69,587.97,6057.66,2006-07
MINISTRY OF COMPANY AFFAIRS,135,10,145,2006-07
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",24733.23,60.57,24793.8,2006-07
MINISTRY OF TOURISM AND CULTURE,772,48,820,2006-07
MINISTRY OF DEFENCE,65983.67,38140.17,104123.84,2006-07
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1253.74,109.05,1362.79,2006-07
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1495.63,24.51,1520.14,2006-07
MINISTRY OF EXTERNAL AFFAIRS,3464.64,230.41,3695.05,2006-07
MINISTRY OF FINANCE,213974.22,8785.37,222759.59,2006-07
MINISTRY OF FOOD PROCESSING INDUSTRIES,173.7,0,173.7,2006-07
MINISTRY OF HEALTH AND FAMILY WELFARE,12916.09,77.68,12993.77,2006-07
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,360.28,580.88,941.16,2006-07
MINISTRY OF HOME AFFAIRS,17040.55,2173.23,19213.78,2006-07
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,28967.92,0.01,28967.93,2006-07
MINISTRY OF INFORMATION AND BROADCASTING,1558.53,157.47,1716,2006-07
MINISTRY OF LABOUR AND EMPLOYMENT,1481.36,0,1481.36,2006-07
MINISTRY OF LAW AND JUSTICE,928.69,0.03,928.72,2006-07
MINISTRY OF COAL AND MINES,363.07,131.95,495.02,2006-07
MINISTRY OF NEW AND RENEWABLE ENERGY,538.39,65.25,603.64,2006-07
MINISTRY OF OVERSEAS INDIAN AFFAIRS,35.5,2.5,38,2006-07
DEPARTMENT OF OCEAN DEVELOPMENT,475.75,0,475.75,2006-07
MINISTRY OF PANCHAYATI RAJ,3825.73,0,3825.73,2006-07
MINISTRY OF PARLIAMENTARY AFFAIRS,6,0,6,2006-07
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",308.27,37.03,345.3,2006-07
MINISTRY OF PETROLEUM AND NATURAL GAS,3106.62,0,3106.62,2006-07
MINISTRY OF PLANNING,123.83,0,123.83,2006-07
MINISTRY OF POWER,3769.26,1797.74,5567,2006-07
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",430.07,0,430.07,2006-07
MINISTRY OF RURAL DEVELOPMENT,31470.96,0,31470.96,2006-07
MINISTRY OF SCIENCE AND TECHNOLOGY,3876.9,153.7,4030.6,2006-07
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,10946.55,5597.43,16543.98,2006-07
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",505.24,19,524.24,2006-07
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1615.31,202.29,1817.6,2006-07
DEPARTMENT OF SPACE,3092.3,517.7,3610,2006-07
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1788.65,27.92,1816.57,2006-07
MINISTRY OF STEEL,84.5,45,129.5,2006-07
MINISTRY OF TEXTILES,2033.58,1012.17,3045.75,2006-07
MINISTRY OF TOURISM AND CULTURE,377.32,495.5,872.82,2006-07
MINISTRY OF TRIBAL AFFAIRS,1653.45,14.01,1667.46,2006-07
UNION TERRITORIES (WITHOUT LEGISLATURE),2693.82,936.14,3629.96,2006-07
MINISTRY OF HOUSING AND URBAN AFFAIRS,1786.47,1419.79,3206.26,2006-07
MINISTRY OF HOUSING AND URBAN AFFAIRS,426.06,5.61,431.67,2006-07
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",901.02,60.49,961.51,2006-07
MINISTRY OF YOUTH AFFAIRS AND SPORTS,662.47,6.53,669,2006-07
MINISTRY OF MINORITY AFFAIRS,2,0,2,2006-07
MINISTRY OF RAILWAYS,0,6800.14,6800.14,2006-07
GRAND TOTAL,488192.35,75798.78,563991.13,2006-07
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,9048.11,314.1,9362.21,2007-08
MINISTRY OF AGRO AND RURAL INDUSTRIES,1194.32,5.31,1199.63,2007-08
DEPARTMENT OF ATOMIC ENERGY,1710.3,4419.7,6130,2007-08
MINISTRY OF CHEMICALS AND FERTILISERS,22673.82,115.18,22789,2007-08
MINISTRY OF CIVIL AVIATION,475.56,142,617.56,2007-08
MINISTRY OF COAL AND MINES,288,0,288,2007-08
MINISTRY OF COMMERCE AND INDUSTRY,2447.44,707,3154.44,2007-08
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,6584.16,506.22,7090.38,2007-08
MINISTRY OF COMPANY AFFAIRS,146,55,201,2007-08
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",26253.94,80.7,26334.64,2007-08
MINISTRY OF TOURISM AND CULTURE,882.61,50,932.61,2007-08
MINISTRY OF DEFENCE,69992.32,42703.51,112695.83,2007-08
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1238.7,154.37,1393.07,2007-08
MINISTRY OF EARTH SCIENCES,613.49,273.51,887,2007-08
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1517.95,21.05,1539,2007-08
MINISTRY OF EXTERNAL AFFAIRS,3674.38,759.22,4433.6,2007-08
MINISTRY OF FINANCE,248366.64,45689.14,294055.78,2007-08
MINISTRY OF FOOD PROCESSING INDUSTRIES,228.3,30,258.3,2007-08
MINISTRY OF HEALTH AND FAMILY WELFARE,15499.03,355.85,15854.88,2007-08
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,292.15,628.58,920.73,2007-08
MINISTRY OF HOME AFFAIRS,17883.99,4738.5,22622.49,2007-08
MINISTRY OF HOUSING AND URBAN AFFAIRS,504.14,5.61,509.75,2007-08
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,32350.72,1,32351.72,2007-08
MINISTRY OF INFORMATION AND BROADCASTING,1391.72,290.12,1681.84,2007-08
MINISTRY OF LABOUR AND EMPLOYMENT,1628.44,5.04,1633.48,2007-08
MINISTRY OF LAW AND JUSTICE,884.73,0.03,884.76,2007-08
MINISTRY OF COAL AND MINES,334.29,55.41,389.7,2007-08
MINISTRY OF MINORITY AFFAIRS,442.83,70,512.83,2007-08
MINISTRY OF NEW AND RENEWABLE ENERGY,568.65,64.25,632.9,2007-08
MINISTRY OF OVERSEAS INDIAN AFFAIRS,40,10,50,2007-08
MINISTRY OF PANCHAYATI RAJ,4770.5,0,4770.5,2007-08
MINISTRY OF PARLIAMENTARY AFFAIRS,6.1,0,6.1,2007-08
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",328.49,37.51,366,2007-08
MINISTRY OF PETROLEUM AND NATURAL GAS,2867.81,0,2867.81,2007-08
MINISTRY OF PLANNING,121.82,7.5,129.32,2007-08
MINISTRY OF POWER,4541.91,1010.28,5552.19,2007-08
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",475.37,0,475.37,2007-08
MINISTRY OF RURAL DEVELOPMENT,36588.38,0,36588.38,2007-08
MINISTRY OF SCIENCE AND TECHNOLOGY,4297.7,74,4371.7,2007-08
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,11265.77,6481.43,17747.2,2007-08
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",585.41,0,585.41,2007-08
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1934.15,125,2059.15,2007-08
DEPARTMENT OF SPACE,2277.5,1581.1,3858.6,2007-08
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1834.92,18.62,1853.54,2007-08
MINISTRY OF STEEL,85.5,65,150.5,2007-08
MINISTRY OF TEXTILES,2811.2,325.48,3136.68,2007-08
MINISTRY OF TOURISM AND CULTURE,390.62,606,996.62,2007-08
MINISTRY OF TRIBAL AFFAIRS,1697.02,35.02,1732.04,2007-08
UNION TERRITORIES (WITHOUT LEGISLATURE),2666.81,993.87,3660.68,2007-08
MINISTRY OF HOUSING AND URBAN AFFAIRS,1761.64,2052.88,3814.52,2007-08
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",827.96,43.8,871.76,2007-08
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,5853,0,5853,2007-08
MINISTRY OF YOUTH AFFAIRS AND SPORTS,753.21,26.79,780,2007-08
MINISTRY OF RAILWAYS,0,6886.31,6886.31,2007-08
GRAND TOTAL,557899.52,122620.99,680520.51,2007-08
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,4151.11,1455.09,4434.31,2003-04
MINISTRY OF AGRO AND RURAL INDUSTRIES,667.02,88.13,667.63,2003-04
DEPARTMENT OF ATOMIC ENERGY,771.5,3619.59,3800.09,2003-04
MINISTRY OF CHEMICALS AND FERTILISERS,12812.83,13391.18,13451.9,2003-04
MINISTRY OF CIVIL AVIATION,242.23,283.57,289.34,2003-04
MINISTRY OF COAL AND MINES,437.9,152,437.9,2003-04
MINISTRY OF COAL AND MINES,613.25,425.73,633.74,2003-04
MINISTRY OF COMMERCE AND INDUSTRY,2053.13,1194.13,2206.13,2003-04
MINISTRY OF COMMUNICATIONS,2130.06,1670.05,2299.13,2003-04
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",28052.54,28086.5,28097.22,2003-04
MINISTRY OF DEFENCE,55594.01,76932.59,76932.59,2003-04
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,919.98,165.08,1077.48,2003-04
MINISTRY OF DISINVESTMENT,28.37,28.37,28.37,2003-04
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1099.14,140.04,1124.59,2003-04
MINISTRY OF EXTERNAL AFFAIRS,3038.99,3008,3410,2003-04
MINISTRY OF FINANCE,174287.49,178593.77,200996.1,2003-04
MINISTRY OF FOOD PROCESSING INDUSTRIES,80.84,5.84,80.84,2003-04
MINISTRY OF HEALTH AND FAMILY WELFARE,7618.08,1040.78,7620.08,2003-04
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,145.51,571.01,613.26,2003-04
MINISTRY OF HOME AFFAIRS,11293.53,12885.66,13182.06,2003-04
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,12515.08,2890.95,12515.09,2003-04
MINISTRY OF INFORMATION AND BROADCASTING,1289.53,1337.71,1521.12,2003-04
MINISTRY OF LABOUR AND EMPLOYMENT,856.39,0,856.39,2003-04
MINISTRY OF LAW AND JUSTICE,634.22,0.55,634.77,2003-04
MINISTRY OF NEW AND RENEWABLE ENERGY,505.11,130.39,630.15,2003-04
DEPARTMENT OF OCEAN DEVELOPMENT,199.33,0,199.33,2003-04
MINISTRY OF PARLIAMENTARY AFFAIRS,4.04,0,4.04,2003-04
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",116.01,91.01,125.01,2003-04
MINISTRY OF PETROLEUM AND NATURAL GAS,8128.28,8128.28,8128.28,2003-04
MINISTRY OF PLANNING,78.77,0,78.77,2003-04
MINISTRY OF POWER,733.76,2823.08,3556.84,2003-04
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",329.92,329.92,329.92,2003-04
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,4599.33,5828.39,8936.09,2003-04
MINISTRY OF RURAL DEVELOPMENT,14084.32,34.32,14094.32,2003-04
MINISTRY OF SCIENCE AND TECHNOLOGY,2527.68,1071.88,2585.88,2003-04
MINISTRY OF SHIPPING,454.1,676.8,766.55,2003-04
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",377.56,71.07,397.56,2003-04
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1342.06,187.06,1469.56,2003-04
DEPARTMENT OF SPACE,1888.44,798.5,2368.47,2003-04
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1769.2,170.68,1794.33,2003-04
MINISTRY OF STEEL,68.31,81.31,81.31,2003-04
MINISTRY OF TEXTILES,1218.4,964.68,1707.84,2003-04
MINISTRY OF TOURISM AND CULTURE,704.52,565.32,910.02,2003-04
MINISTRY OF TRIBAL AFFAIRS,1056.44,51.96,1097.7,2003-04
UNION TERRITORIES (WITHOUT LEGISLATURE),1953.31,1924.82,2287.75,2003-04
MINISTRY OF HOUSING AND URBAN AFFAIRS,1614.78,2747.99,3481.79,2003-04
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",709.29,258.29,768.79,2003-04
MINISTRY OF YOUTH AFFAIRS AND SPORTS,431.04,64.53,440.3,2003-04
MINISTRY OF RAILWAYS,0,5644.34,5644.34,2003-04
GRAND TOTAL,366226.73,361951.83,438795.07,2003-04
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,5058.59,1368.3,5303.73,2004-05
MINISTRY OF AGRO AND RURAL INDUSTRIES,860.02,88.13,861.63,2004-05
DEPARTMENT OF ATOMIC ENERGY,899.86,4238.87,4469.97,2004-05
MINISTRY OF CHEMICALS AND FERTILISERS,12778.92,12869.03,12952.56,2004-05
MINISTRY OF CIVIL AVIATION,242.05,282.15,287.1,2004-05
MINISTRY OF COAL AND MINES,796.55,655.77,972.32,2004-05
MINISTRY OF COMMERCE AND INDUSTRY,2392.78,1884.73,2937.88,2004-05
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,2561.77,2411.51,3299.01,2004-05
MINISTRY OF COMPANY AFFAIRS,54.5,57.5,57.5,2004-05
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",26129.24,26173.75,26185.92,2004-05
MINISTRY OF TOURISM AND CULTURE,667.33,358.33,712.83,2004-05
MINISTRY OF DEFENCE,55217.68,89136.35,89136.35,2004-05
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1038.56,163.7,1194.7,2004-05
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1284.46,167.96,1301.21,2004-05
MINISTRY OF EXTERNAL AFFAIRS,3264.06,3185.69,3640.69,2004-05
MINISTRY OF FINANCE,183365.95,186812.93,210507.73,2004-05
MINISTRY OF FOOD PROCESSING INDUSTRIES,115.68,5.68,115.68,2004-05
MINISTRY OF HEALTH AND FAMILY WELFARE,8412.61,996.33,8438.12,2004-05
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,192.52,573.78,663.65,2004-05
MINISTRY OF HOME AFFAIRS,13046.29,14707.58,15003.61,2004-05
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,13516.25,2892.12,13516.26,2004-05
MINISTRY OF INFORMATION AND BROADCASTING,1263.31,1285.03,1514.17,2004-05
MINISTRY OF LABOUR AND EMPLOYMENT,923.54,756.57,923.54,2004-05
MINISTRY OF LAW AND JUSTICE,1407.88,1268.9,1408.9,2004-05
MINISTRY OF NEW AND RENEWABLE ENERGY,509.23,101.51,605.27,2004-05
MINISTRY OF OVERSEAS INDIAN AFFAIRS,6,7,7,2004-05
MINISTRY OF PANCHAYATI RAJ,31.04,0.44,31.04,2004-05
DEPARTMENT OF OCEAN DEVELOPMENT,229.08,31.08,230.08,2004-05
MINISTRY OF PARLIAMENTARY AFFAIRS,5.89,5.89,5.89,2004-05
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",251.8,225.86,267.95,2004-05
MINISTRY OF PETROLEUM AND NATURAL GAS,3573.42,3573.42,3573.42,2004-05
MINISTRY OF PLANNING,6446.88,3714.88,10130.88,2004-05
MINISTRY OF POWER,1024.87,2700.07,3662.47,2004-05
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",363.5,363.5,363.5,2004-05
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,4410.65,6752.4,9637,2004-05
MINISTRY OF RURAL DEVELOPMENT,16016.83,28.43,16021.83,2004-05
MINISTRY OF SCIENCE AND TECHNOLOGY,2831.59,1128.99,2906.39,2004-05
MINISTRY OF SHIPPING,490.55,624.13,781.18,2004-05
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",399.4,67.15,414.4,2004-05
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1377.26,244.76,1557.01,2004-05
DEPARTMENT OF SPACE,2167.3,895.28,2731.29,2004-05
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1834.87,161.22,1855.71,2004-05
MINISTRY OF STEEL,91.65,180.54,180.54,2004-05
MINISTRY OF TEXTILES,1324.93,913.34,1780.31,2004-05
MINISTRY OF TOURISM AND CULTURE,227.24,355.74,541.74,2004-05
MINISTRY OF TRIBAL AFFAIRS,1108.75,63.27,1159.01,2004-05
UNION TERRITORIES (WITHOUT LEGISLATURE),2035.17,1968.19,2344.43,2004-05
MINISTRY OF HOUSING AND URBAN AFFAIRS,1493.61,1928.58,2579.73,2004-05
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",769.45,59.78,829.23,2004-05
