Ministry,Plan Revenue,Plan Capital,Plan Total,Non Plan Revenue,Non Plan Capital,Non Plan Total,Total,year,Revenue,Capital
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,1460,...,1460.0,8.02,...,8.02,1468.02,2013-14,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,65857,...,65857.0,13594,...,13594,79451.0,2013-14,,
MINISTRY OF INFORMATION AND BROADCASTING,876.2,28.8,905.0,2130.65,...,2130.65,3035.65,2013-14,,
MINISTRY OF LABOUR AND EMPLOYMENT,2435.94,10.16,2446.1,2634.13,0.97,2635.1,5081.2,2013-14,,
MINISTRY OF LAW AND JUSTICE,1103,...,1103.0,899.36,11.02,910.38,2013.38,2013-14,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",2899,78,2977.0,311.91,0.8,312.71,3289.71,2013-14,,
MINISTRY OF MINES,207.47,246.53,454.0,537.08,...,537.08,991.08,2013-14,,
MINISTRY OF MINORITY AFFAIRS,3391,120,3511.0,19.98,...,19.98,3530.98,2013-14,,
MINISTRY OF NEW AND RENEWABLE ENERGY,1419.5,99.5,1519.0,14.55,...,14.55,1533.55,2013-14,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,...,...,...,95.79,20,115.79,115.79,2013-14,,
MINISTRY OF PANCHAYATI RAJ,7000,...,7000.0,0.7,...,0.7,7000.7,2013-14,,
MINISTRY OF PARLIAMENTARY  AFFAIRS,...,...,...,13.28,...,13.28,13.28,2013-14,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",157,122,279.0,732.87,8.07,740.94,1019.94,2013-14,,
MINISTRY OF PETROLEUM AND NATURAL GAS,42,1,43.0,65145.41,...,65145.41,65188.41,2013-14,,
MINISTRY OF PLANNING,7100,900,8000.0,81.51,...,81.51,8081.51,2013-14,,
MINISTRY OF POWER,7337.95,2304.05,9642.0,431.07,...,431.07,10073.07,2013-14,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",...,...,...,1033.53,...,1033.53,1033.53,2013-14,,
MINISTRY OF ROAD TRANSPORT  AND HIGHWAYS,10691.63,15168.28,25859.91,3278.31,2163.92,5442.23,31302.14,2013-14,,
MINISTRY OF RURAL DEVELOPMENT,80194,...,80194.0,56.5,...,56.5,80250.5,2013-14,,
MINISTRY OF SCIENCE AND TECHNOLOGY,6244.1,30.9,6275.0,1980.38,1.95,1982.33,8257.33,2013-14,,
MINISTRY OF SHIPPING,213.53,632.47,846.0,958.75,-92.08,866.67,1712.67,2013-14,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,6320,305,6625.0,100.32,...,100.32,6725.32,2013-14,,
DEPARTMENT OF SPACE,1875.69,3739.31,5615.0,1177,...,1177,6792.0,2013-14,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4569.85,16.15,4586.0,365.68,...,365.68,4951.68,2013-14,,
MINISTRY OF STEEL,46,...,46.0,66.87,...,66.87,112.87,2013-14,,
MINISTRY OF TEXTILES,4623.35,7.65,4631.0,800.57,0.02,800.59,5431.59,2013-14,,
MINISTRY OF TOURISM,1280,2,1282.0,75.3,...,75.3,1357.3,2013-14,,
MINISTRY OF TRIBAL AFFAIRS,4209,70,4279.0,16.94,...,16.94,4295.94,2013-14,,
UNION TERRITORIES (WITHOUT LEGISLATURE),2508.07,1975.23,4483.3,4394.7,-141.48,4253.22,8736.52,2013-14,,
MINISTRY OF URBAN DEVELOPMENT,537.52,7029.38,7566.9,2295.3,501.55,2796.85,10363.75,2013-14,,
MINISTRY OF WATER RESOURCES,1302.55,197.45,1500.0,574.75,1.8,576.55,2076.55,2013-14,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,20350,…,20350.0,90,…,90,20440.0,2013-14,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1092.1,0.9,1093.0,126,…,126,1219.0,2013-14,,
MINISTRY OF RAILWAYS,…,26000,26000.0,…,…,…,26000.0,2013-14,,
GRAND TOTAL,443260.43,112061.57,555322.0,99208.3,117067.02,1109975.32,1665297.32,2013-14,,
DEPARTMENT  OF ATOMIC ENERGY,1791,4109,5900.0,4069.31,942.69,5012,10912.0,2015-16,,
"MINISTRY OF AYURVEDA,  YOGA AND NATUROPATHY,  UNANI, SIDDHA AND HOMOEOPATHY  (AYUSH)",991,17,1008.0,206,...,206,1214.0,2015-16,,
MINISTRY OF CIVIL AVIATION,191.8,2528.2,2720.0,621.5,...,621.5,3341.5,2015-16,,
MINISTRY OF COAL,551,...,551.0,55,...,55,606.0,2015-16,,
MINISTRY OF COMMERCE  AND INDUSTRY,3585.54,104.11,3689.65,4018.05,...,4018.05,7707.7,2015-16,,
MINISTRY OF COMMUNICATIONS AND INFORMATION  TECHNOLOGY,5167.26,3069.3,8236.56,15001.74,5,15006.74,23243.3,2015-16,,
"MINISTRY OF CONSUMER  AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",284.05,107.95,392.0,125081.77,...,125081.77,125473.77,2015-16,,
MINISTRY OF CORPORATE  AFFAIRS,22.9,1.1,24.0,219.88,28,247.88,271.88,2015-16,,
MINISTRY OF CULTURE,1377.5,77.5,1455.0,714,...,714,2169.0,2015-16,,
MINISTRY OF DEFENCE,50,400,450.0,211853.57,97776.03,309629.6,310079.6,2015-16,,
MINISTRY OF DEVELOPMENT  OF NORTH EASTERN REGION,2181.5,153,2334.5,24.24,4,28.24,2362.74,2015-16,,
MINISTRY OF DRINKING WATER AND SANITATION,6236,...,6236.0,7.87,...,7.87,6243.87,2015-16,,
MINISTRY OF EARTH SCIENCES,1054,125,1179.0,440.68,0.02,440.7,1619.7,2015-16,,
"MINISTRY OF ENVIRONMENT,  FORESTS  AND CLIMATE CHANGE",1404.58,42.02,1446.6,228.23,6.77,235,1681.6,2015-16,,
MINISTRY OF EXTERNAL  AFFAIRS,2095.4,3240.8,5336.2,9142.63,488,9630.63,14966.83,2015-16,,
MINISTRY OF FINANCE,31706.6,22567.5,54274.1,623434.76,2252.12,625686.88,679960.98,2015-16,,
MINISTRY OF FOOD PROCESSING  INDUSTRIES,487,...,487.0,18.51,...,18.51,505.51,2015-16,,
MINISTRY OF HEALTH AND FAMILY WELFARE,25741.82,917.35,26659.17,5409,...,5409,32068.17,2015-16,,
MINISTRY OF HEAVY INDUSTRIES  AND PUBLIC ENTERPRISES,213.88,465,678.88,80.85,884,964.85,1643.73,2015-16,,
MINISTRY OF HOME AFFAIRS,3139.09,6403.89,9542.98,55883.64,3017.48,58901.12,68444.1,2015-16,,
MINISTRY OF HOUSING AND URBAN POVERTY  ALLEVIATION,5625.3,...,5625.3,9.17,...,9.17,5634.47,2015-16,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,54893.76,...,54893.76,14181,...,14181,69074.76,2015-16,,
MINISTRY OF INFORMATION  AND BROADCASTING,889.53,25,914.53,2796.58,...,2796.58,3711.11,2015-16,,
MINISTRY OF LABOUR  AND EMPLOYMENT,2116.51,36.51,2153.02,3198.71,9.64,3208.35,5361.37,2015-16,,
MINISTRY OF LAW AND JUSTICE,806.65,...,806.65,2845.25,106.75,2952,3758.65,2015-16,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",2603.01,9.5,2612.51,394.11,0.8,394.91,3007.42,2015-16,,
MINISTRY OF MINES,515.8,54.78,570.58,585.13,...,585.13,1155.71,2015-16,,
MINISTRY OF MINORITY AFFAIRS,3592.78,120,3712.78,25.33,...,25.33,3738.11,2015-16,,
MINISTRY OF NEW AND RENEWABLE ENERGY,192.67,95,287.67,15.54,...,15.54,303.21,2015-16,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,20,...,20.0,86.17,12,98.17,118.17,2015-16,,
MINISTRY OF PANCHAYATI  RAJ,94,...,94.0,0.75,...,0.75,94.75,2015-16,,
MINISTRY OF PARLIAMENTARY  AFFAIRS,...,...,...,15.57,...,15.57,15.57,2015-16,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES  AND PENSIONS",151.91,108.24,260.15,906.42,15.01,921.43,1181.58,2015-16,,
MINISTRY OF PETROLEUM  AND NATURAL GAS,49,1,50.0,30075.55,...,30075.55,30125.55,2015-16,,
MINISTRY OF PLANNING,1749.74,364.78,2114.52,97.11,...,97.11,2211.63,2015-16,,
MINISTRY OF POWER,5841.44,958.3,6799.74,-74.81,1,-73.81,6725.93,2015-16,,
"THE PRESIDENT,  PARLIAMENT,  UNION PUBLIC SERVICE COMMISSION",...,...,...,1186.04,...,1186.04,1186.04,2015-16,,
MINISTRY OF ROAD TRANSPORT  AND HIGHWAYS,9864,33048.65,42912.65,2839,...,2839,45751.65,2015-16,,
MINISTRY OF RURAL DEVELOPMENT,73269.77,...,73269.77,62.81,...,62.81,73332.58,2015-16,,
MINISTRY OF SCIENCE AND TECHNOLOGY,7265.96,23.34,7289.3,2201.06,1.48,2202.54,9491.84,2015-16,,
MINISTRY OF SHIPPING,558.41,374.38,932.79,585.3,-78.3,507,1439.79,2015-16,,
MINISTRY OF SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,1500,...,1500.0,43.46,...,43.46,1543.46,2015-16,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,6535.16,497.24,7032.4,129.36,...,129.36,7161.76,2015-16,,
DEPARTMENT  OF SPACE,2535.29,3464.9,6000.19,1388,...,1388,7388.19,2015-16,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4342.35,10.15,4352.5,474.37,...,474.37,4826.87,2015-16,,
MINISTRY OF STEEL,15,...,15.0,67.95,...,67.95,82.95,2015-16,,
MINISTRY OF TEXTILES,3438.32,85,3523.32,697.78,53.7,751.48,4274.8,2015-16,,
MINISTRY OF TOURISM,1478.15,5.05,1483.2,89.87,...,89.87,1573.07,2015-16,,
MINISTRY OF TRIBAL AFFAIRS,4722.19,70,4792.19,27.02,...,27.02,4819.21,2015-16,,
UNION TERRITORIES (WITHOUT LEGISLATURE),3154.37,1889.63,5044.0,4998,-15.75,4982.25,10026.25,2015-16,,
MINISTRY OF URBAN DEVELOPMENT,6651.18,9403,16054.18,2497.36,665.33,3162.69,19216.87,2015-16,,
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",3465,142,3607.0,629.71,-4.28,625.43,4232.43,2015-16,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,10286.73,…,10286.73,95.67,…,95.67,10382.4,2015-16,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1388.58,0.9,1389.48,151.65,…,151.65,1541.13,2015-16,,
MINISTRY OF RAILWAYS,…,40000,40000.0,…,…,…,40000.0,2015-16,,
GRAND TOTAL,330019.72,135257.32,465277.04,1206026.68,106173.32,1312200,1777477.04,2015-16,,
